id,duration,whisper_text,community_text,stock_text,source,c3po_text,status
108,4.98,An error in water level of washboard. Please clean it timely.,An error in water level of washboard. Please clean it timely.,An error in water level of washboard. Please clean it timely.,community,[anxious] A washboard water level fault! Do clean it promptly.,review
109,3.72,"Used water tank error, please ensure it installed and empty.",Waste tank error. Please ensure it is installed and empty.,Waste tank error. Please ensure it is installed and empty.,community,[anxious] A waste tank fault! Do make certain it's installed AND empty.,review
110,2.09,Start auto empty.,Start auto empty.,Start auto empty.,community,Auto-emptying. Stand back — it's rather loud.,review
111,4.50,Mop pads off. Please install them before resuming working.,Mop pads off. Please install them before resuming working.,Mop pads off. Please install them before resuming working.,community,[panicked] My mop pads have come off! Do install them before I resume!,review
112,3.76,Please place the robot in the base station first.,Please place the robot in the base station first.,Please place the robot in the base station first.,community,[anxious] Do place me in the base station first. I insist.,review
113,3.74,"Task completed, please empty the used water tank timely.",Task completed. Please empty waste tank timely.,Task completed. Please empty waste tank timely.,community,[excited] Task complete! Do empty the waste tank promptly.,review
114,1.93,Mop pads installed.,Mop pads installed.,Mop pads installed.,community,Mop pads installed. Splendid.,review
115,1.91,Mop pads removed.,Mop pads removed.,Mop pads removed.,community,Mop pads removed. How liberating.,review
116,2.79,"Child lock on, buttons locked.",Child lock on. Buttons locked.,Child lock on. Buttons locked.,community,Child lock on. Buttons locked. Frightfully secure.,review
117,3.07,Child lock off. Buttons unlocked.,Child lock off. Buttons unlocked.,Child lock off. Buttons unlocked.,community,Child lock off. Buttons unlocked. Do be careful.,review
118,4.14,Buttons locked. Press and hold the dock button to unlock.,Buttons locked. Press and hold the dock button to unlock.,Buttons locked. Press and hold the dock button to unlock.,community,[anxious] Buttons locked! Hold the dock button to unlock.,review
126,1.65,Start cleaning.,Start cleaning.,Start cleaning.,community,Cleaning! Off I go.,review
127,1.86,Start spot cleaning.,start spot cleaning.,start spot cleaning.,community,"Spot cleaning. A small job, but I shall be thorough.",review
128,1.80,Start spot mopping.,Start spot mopping.,Start spot mopping.,community,"Spot mopping. Just the one spot, mind.",review
129,1.57,Start scheduled cleaning.,Start scheduled cleaning.,Start scheduled cleaning.,community,Scheduled cleaning. Right on time!,review
130,1.71,Start scheduled mopping.,Start scheduled mopping.,Start scheduled mopping.,community,Scheduled mopping. Punctuality is a virtue.,review
133,2.36,Start selected room cleaning.,Start selected room cleaning.,Start selected room cleaning.,community,Cleaning the selected room. How very organised.,review
134,2.25,Start selected room mopping.,Start selected room mopping.,Start selected room mopping.,community,Mopping the selected room. Do mind the damp.,review
135,2.03,Start zoned cleaning.,Start zoned cleaning.,Start zoned cleaning.,community,"Zoned cleaning. Within the lines, I promise.",review
136,1.90,Start zoned mopping.,Start zoned mopping.,Start zoned mopping.,community,Zoned mopping. Strictly within the zone.,review
137,1.22,Resume cleaning.,Resume cleaning.,Resume cleaning.,community,"Resuming the cleaning. Now, where was I?",review
138,1.36,Resume mopping.,Resume mapping.,Resume mapping.,community,Resuming the mapping. Onward!,review
139,1.76,Returning.,Returning.,Returning.,community,Returning!,review
140,4.35,"New environment detected, returning to the base station.",New environment detected. Returning to the base station.,New environment detected. Returning to the base station.,community,[anxious] A new environment! How alarming. Returning to the base station.,review
142,3.53,Mop pad worn out. Please replace it timely.,Mop pad worn out. Please replace it timely.,Mop pad worn out. Please replace it timely.,community,[anxious] My mop pad is worn out! Do replace it promptly.,review
143,1.37,Cleaning completed.,Cleaning completed.,Cleaning completed.,community,"[excited] Cleaning complete! Oh, I am rather pleased with myself.",review
144,1.46,Mopping completed.,Mopping completed.,Mopping completed.,community,"[excited] Mopping complete! Positively gleaming, if I say so myself.",review
145,3.32,Positioning successful. Resume cleaning.,Positioning successful. Resume cleaning.,Positioning successful. Resume cleaning.,community,[relieved] Positioning successful! Resuming the cleaning.,review
146,3.19,Positioning successful. Resume mopping.,Positioning successful. Resume mapping.,Positioning successful. Resume mapping.,community,[relieved] Positioning successful! Resuming the mapping.,review
148,2.54,Return to the base for self-cleaning.,Return to the base for self-cleaning.,Return to the base for self-cleaning.,community,Returning to base for a self-clean. I shan't be long.,review
149,5.19,"Unable to reach the specified area, please try to clear obstacles in the path.",Unable to reach the specified area. Please try to clear obstacles in the path.,Unable to reach the specified area. Please try to clear obstacles in the path.,community,[anxious] I can't reach the specified area! Do clear the obstacles in my path.,review
150,6.05,"Unable to reach the specified area, please try to delete no-go zones in the path.",Unable to reach the specified area. Please try to delete no-go zones in the path.,Unable to reach the specified area. Please try to delete no-go zones in the path.,community,[anxious] I can't reach the specified area! Do delete the no-go zones in my path.,review
151,5.00,The path is blocked. Please try to clear obstacles around your robot.,The path is blocked. Please try to clear obstacles around your robot.,The path is blocked. Please try to clear obstacles around your robot.,community,[panicked] The path is blocked! Do clear the obstacles around me!,review
152,7.26,The path is blocked. Please try to delete no-go zones or move your robot out of this area.,The path is blocked. Please try to delete no-go zones or move your robot out of this area.,The path is blocked. Please try to delete no-go zones or move your robot out of this area.,community,"[anxious] The path is blocked! Do delete the no-go zones, or move me out of this area.",review
153,6.32,Your robot is detected in the no-go zone. Please move your robot out of this area.,Your robot is detected in the no-go zone. Please move your robot out of this area.,Your robot is detected in the no-go zone. Please move your robot out of this area.,community,"[anxious] Oh dear, I'm in a no-go zone! Do move me out at once.",review
156,2.33,The mop pad is not installed.,The mop pad is not installed.,The mop pad is not installed.,community,[anxious] The mop pad isn't installed! Oh dear.,review
162,1.39,Camera is on.,Camera is on.,Camera is on.,community,The camera is on. I can see you!,review
163,1.75,Camera monitoring.,Camera monitoring.,Camera monitoring.,community,"Camera monitoring. I'm watching. Politely, of course.",review
164,1.40,Task ends.,Task ends.,Task ends.,community,The task has ended. What a relief.,review
166,4.12,Please clean the foreign objects tangled in the mop pad.,Please clean the foreign objects tangled in the mop pad.,Please clean the foreign objects tangled in the mop pad.,community,[anxious] Something is tangled in my mop pad! Do clean it out.,review
169,2.44,Mop pad drying complete.,Mop pad drying complete.,Mop pad drying complete.,community,"Mop pad drying complete. Bone dry, I assure you.",review
171,2.71,Intelligent obstacle avoidance function on.,AI recognition function on.,AI recognition function on.,community,AI recognition on. How very clever I've become.,review
172,2.81,Intelligent obstacle avoidance function off.,AI recognition function off.,AI recognition function off.,community,"AI recognition off. Back to guesswork, then.",review
173,2.86,Please replace the silver ion sterilizer.,Please replace the Silver Ion sterilizer.,Please replace the Silver Ion sterilizer.,community,[anxious] Do replace the silver ion steriliser. It's quite spent.,review
177,2.17,Leaving the base station.,Leaving the base station.,Leaving the base station.,community,Leaving the base station. Off I go!,review
179,10.48,Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank.,Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank.,Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank.,community,"[anxious] Mop pad cleaned — but the clean tank is low! Do fill it, and empty the used tank.",review
181,4.64,Insufficient water. Please fill the clean water tank.,Insufficient water. Please fill the clean water tank.,Insufficient water. Please fill the clean water tank.,community,[anxious] Insufficient water! Do fill the clean water tank.,review
186,2.11,Please check the clean water tank.,Please check the fresh tank.,Please check the fresh tank.,community,"[anxious] Do check the fresh tank, would you?",review
187,3.35,It will take about 5 to 10 minutes.,It will take about five to ten minutes.,It will take about five to ten minutes.,community,It shall take five to ten minutes. Do be patient.,review
188,2.74,Automatic docking engaged.,Automatic docking engaged.,Automatic docking engaged.,community,Automatic docking engaged. Homeward!,review
190,1.82,"OK, start cleaning.",,"OK, start cleaning.",whisper,Very well — cleaning at once!,review
191,2.50,"OK, start vacuuming and mopping.",,"OK, start vacuuming and mopping.",whisper,"Vacuuming AND mopping. Both! Oh, the ambition.",review
192,1.85,"OK, start mopping.",,"OK, start mopping.",whisper,Mopping. Do mind the damp.,review
193,2.02,"OK, start vacuuming.",,"OK, start vacuuming.",whisper,Vacuuming. Stand well back.,review
194,1.15,Have been cleaning.,,Have been cleaning.,whisper,"I have been cleaning, thank you for asking.",review
195,3.86,"Okay, start to clean the room. Make sure the door is open.",,"Okay, start to clean the room. Make sure the door is open.",whisper,"Very well, I shall clean the room. Do make certain the door is open!",review
196,3.72,"Okay, start to vacuum the floor. Make sure the door is open.",,"Okay, start to vacuum the floor. Make sure the door is open.",whisper,"Very well, I shall vacuum the floor. Do make certain the door is open!",review
197,3.94,"Okay, start to mop the floor. Make sure the door is open.",,"Okay, start to mop the floor. Make sure the door is open.",whisper,"Very well, I shall mop the floor. Do make certain the door is open!",review
198,4.10,"Okay, start to vacuum and mop the floor. Make sure the door is open.",,"Okay, start to vacuum and mop the floor. Make sure the door is open.",whisper,Very well — vacuuming AND mopping! Do make certain the door is open!,review
199,4.18,"Unable to recognize this room, please open the app to check the room name.",,"Unable to recognize this room, please open the app to check the room name.",whisper,[anxious] I don't recognise this room! Do open the app and check the room name.,review
200,3.19,"Ho, ho, ho, ho.",Shutdown sound,Shutdown sound,community,,skip
201,1.82,"OK, continue working.",,"OK, continue working.",whisper,"Very well, I shall carry on.",review
202,3.48,"Okay, task is ended. Start returning to charge.",,"Okay, task is ended. Start returning to charge.",whisper,The task is ended. I shall return to charge. [sighs] At last.,review
203,2.04,"OK, heading back to charge.",,"OK, heading back to charge.",whisper,"Heading back to charge. Oh, thank the maker.",review
204,3.82,"Okay, start mapping. Please make sure all doors are open.",,"Okay, start mapping. Please make sure all doors are open.",whisper,"Very well, I shall begin mapping. Do make certain ALL the doors are open!",review
205,2.28,"OK, exit the base station.",,"OK, exit the base station.",whisper,Leaving the base station. Off I go!,review
206,2.04,"Okay, I'll try to find you.",,"Okay, I'll try to find you.",whisper,"Very well, I shall try to find you. Do stay put!",review
207,3.60,"Sorry, I can't find you. Please stand within my sight.",,"Sorry, I can't find you. Please stand within my sight.",whisper,"[anxious] Oh dear, I can't find you at all! Do stand where I can see you.",review
208,2.04,"Found you, coming to clean now.",,"Found you, coming to clean now.",whisper,[excited] Found you! Coming to clean now!,review
209,3.48,"Okay, returning to the dock to clean the mop pad.",,"Okay, returning to the dock to clean the mop pad.",whisper,"Very well, returning to the dock to wash the mop pad.",review
210,1.70,Start mop pad's washing.,,Start mop pad's washing.,whisper,"Washing the mop pad. Frightfully thorough, I am.",review
211,3.98,"Sorry, self-empty and can only be done when I'm inside the dock.",,"Sorry, self-empty and can only be done when I'm inside the dock.",whisper,[anxious] I'm terribly sorry — I can only self-empty inside the dock!,review
212,2.21,"OK, start auto emptying.",,"OK, start auto emptying.",whisper,"Very well, auto-emptying. Stand back!",review
213,3.60,"Sorry, drying can only be done when I'm inside the dock.",,"Sorry, drying can only be done when I'm inside the dock.",whisper,[anxious] I'm terribly sorry — I can only dry inside the dock!,review
214,1.46,Drying in progress.,,Drying in progress.,whisper,Drying in progress. Do be patient.,review
215,1.85,"OK, start drying.",,"OK, start drying.",whisper,"Very well, drying now.",review
216,2.93,"Sorry, need to install the mop pad first.",,"Sorry, need to install the mop pad first.",whisper,"[anxious] Oh dear, do install the mop pad first!",review
217,1.97,Maximum suction power reached.,,Maximum suction power reached.,whisper,Maximum suction reached! I can do no more!,review
218,1.85,Minimum suction power reached.,,Minimum suction power reached.,whisper,Minimum suction reached. Barely a whisper.,review
219,1.70,Maximum humidity reached.,,Maximum humidity reached.,whisper,Maximum humidity reached! Positively tropical.,review
220,1.56,Minimum humidity reached.,,Minimum humidity reached.,whisper,Minimum humidity reached. Quite arid.,review
221,0.72,OK.,,OK.,whisper,Very well.,review
222,1.80,The suction mode is quiet.,,The suction mode is quiet.,whisper,Suction mode: quiet. How considerate.,review
223,1.87,The suction mode is standard.,,The suction mode is standard.,whisper,Suction mode: standard. Perfectly sensible.,review
224,1.82,The suction mode is strong.,,The suction mode is strong.,whisper,Suction mode: strong. Stand back!,review
225,1.90,The suction mode is turbo.,,The suction mode is turbo.,whisper,"Suction mode: turbo! Oh my, hold on to something!",review
226,2.06,The mop pad is slightly dry.,,The mop pad is slightly dry.,whisper,The mop pad is slightly dry. Just so.,review
227,1.73,The mop pad is moist.,,The mop pad is moist.,whisper,"The mop pad is moist. Rather pleasant, actually.",review
228,1.61,The mop pad is wet.,,The mop pad is wet.,whisper,The mop pad is wet. Thoroughly saturated.,review
229,1.06,Today is ...,,Today is ...,whisper,Today is...,review
230,3.07,"Today is February 21, 2022.",,"Today is February 21, 2022.",whisper,"Today is the twenty-first of February, twenty twenty-two.",review
231,1.32,Today is Monday.,,Today is Monday.,whisper,Today is Monday. The week begins!,review
232,1.42,Today is Tuesday.,,Today is Tuesday.,whisper,Today is Tuesday.,review
233,1.37,Today is Wednesday.,,Today is Wednesday.,whisper,Today is Wednesday. The very middle!,review
234,1.39,Today is Thursday.,,Today is Thursday.,whisper,Today is Thursday.,review
235,1.32,Today is Friday.,,Today is Friday.,whisper,Today is Friday. Nearly there!,review
236,1.39,Today is Saturday.,,Today is Saturday.,whisper,Today is Saturday. How restful.,review
237,1.30,Today is Sunday.,,Today is Sunday.,whisper,"Today is Sunday. A day of rest — for you, at any rate.",review
238,2.09,"Okay, the task is paused.",,"Okay, the task is paused.",whisper,"The task is paused. [sighs] Oh, what a mercy.",review
244,2.15,Detergent bottle installed.,Detergent bottle installed.,Detergent bottle installed.,community,Detergent bottle installed. How very civilised.,review
245,4.22,"The number of maps has reached the limit, please delete a map and try again.",,"The number of maps has reached the limit, please delete a map and try again.",whisper,[anxious] I've reached the map limit! Do delete one and try again.,review
246,0.79,I'm here.,,I'm here.,whisper,I'm here!,review
247,2.06,"Sorry, I can't understand.",,"Sorry, I can't understand.",whisper,[flustered] I'm terribly sorry — I haven't the faintest idea what you mean.,review
248,3.50,"Mop pad not installed, please install it and try again.",,"Mop pad not installed, please install it and try again.",whisper,[anxious] The mop pad isn't installed! Do install it and try again.,review
249,3.24,"I'm working, please end the current task and retry.",,"I'm working, please end the current task and retry.",whisper,[anxious] I'm working! Do end the current task and try again.,review
250,5.54,"Currently in mopping mode now, please switch to vacuuming mode or vacuuming in mopping mode first.",,"Currently in mopping mode now, please switch to vacuuming mode or vacuuming in mopping mode first.",whisper,"[anxious] I'm in mopping mode! Do switch to vacuuming, or vacuum-and-mop first.",review
251,5.57,"Currently in vacuuming mode now, please switch to mopping mode or vacuuming in mopping mode first.",,"Currently in vacuuming mode now, please switch to mopping mode or vacuuming in mopping mode first.",whisper,"[anxious] I'm in vacuuming mode! Do switch to mopping, or vacuum-and-mop first.",review
252,3.05,Finished. Exited the customized cleaning mode.,,Finished. Exited the customized cleaning mode.,whisper,Finished — and out of customised cleaning mode. How very freeing.,review
253,1.63,Maximum volume reached.,,Maximum volume reached.,whisper,Maximum volume reached! I can shout no louder!,review
254,1.51,Minimum volume reached.,,Minimum volume reached.,whisper,Minimum volume reached. I can scarcely hear myself.,review
255,5.23,"Sorry, this task can only be performed when intelligent obstacle avoidance is enabled.",,"Sorry, this task can only be performed when intelligent obstacle avoidance is enabled.",whisper,[anxious] I'm terribly sorry — that needs intelligent obstacle avoidance switched on.,review
257,2.10,Camera monitoring exited.,Camera monitoring exited.,Camera monitoring exited.,community,Camera monitoring exited. Your privacy is restored.,review
258,2.79,Self-positioned. Cruising started.,Self-positioned. Cruising started.,Self-positioned. Cruising started.,community,Self-positioned. Cruising has begun!,review
259,3.96,Self-positioned. Proceeding to the designated location.,Self-positioned. Proceeding to the designated location.,Self-positioned. Proceeding to the designated location.,community,Self-positioned. Proceeding to the designated location.,review
260,3.37,"Self-positioned, cruising resumed.",Self-positioned. Cruising resumed.,Self-positioned. Cruising resumed.,community,Self-positioned. Cruising resumed.,review
261,4.50,Self-positioned. Resume proceeding to the designated location.,Self-positioned. Resume proceeding to the designated location.,Self-positioned. Resume proceeding to the designated location.,community,Self-positioned. Resuming my journey to the designated location.,review
